round_id,team_id,position,party
278,3,2,Kontra
278,32,3,Re
278,11,4,Re
279,60,1,Kontra
279,3,2,Kontra
279,32,3,Kontra
279,11,4,Re
280,11,1,Re
280,2,2,Kontra
280,3,3,Kontra
280,32,4,Re
281,11,1,Kontra
281,2,2,Kontra
281,3,3,Kontra
281,32,4,Re
282,11,1,Re
282,2,2,Kontra
282,3,3,Kontra
282,32,4,Re
283,11,1,Kontra
283,2,2,Kontra
283,3,3,Re
283,32,4,Kontra
284,2,1,Kontra
284,3,2,Kontra
284,11,3,Re
284,25,4,Re
285,12,1,Re
285,3,2,Re
285,11,3,Kontra
285,25,4,Kontra
286,12,1,Re
286,3,2,Kontra
286,11,3,Kontra
286,25,4,Re
287,25,1,Kontra
287,12,2,Re
287,3,3,Kontra
287,21,4,Kontra
288,25,1,Kontra
288,12,2,Re
288,3,3,Kontra
288,21,4,Re
289,49,1,Re
289,1,2,Re
289,2,3,Kontra
289,11,4,Kontra
290,49,1,Re
290,1,2,Kontra
290,2,3,Re
290,11,4,Kontra
291,49,1,Kontra
291,1,2,Kontra
291,2,3,Re
291,11,4,Re
292,49,1,Kontra
292,1,2,Re
292,2,3,Kontra
292,11,4,Re
293,49,1,Kontra
293,1,2,Re
293,2,3,Re
293,11,4,Kontra
294,21,1,Kontra
294,23,2,Kontra
294,17,3,Re
294,3,4,Kontra
295,21,1,Re
295,23,2,Kontra
295,17,3,Re
295,3,4,Kontra
296,21,1,Re
296,23,2,Kontra
296,17,3,Re
296,3,4,Kontra
297,21,1,Re
297,23,2,Kontra
297,17,3,Re
297,3,4,Kontra
298,51,1,Re
298,55,2,Kontra
298,57,3,Kontra
298,26,4,Re
299,51,1,Kontra
299,55,2,Kontra
299,57,3,Re
299,26,4,Re
300,51,1,Kontra
300,55,2,Re
300,57,3,Kontra
300,26,4,Re
301,51,1,Kontra
301,55,2,Re
301,57,3,Re
301,26,4,Kontra
302,51,1,Re
302,55,2,Re
302,57,3,Kontra
302,26,4,Kontra
303,3,1,Re
303,26,2,Re
303,17,3,Kontra
303,42,4,Kontra
304,3,1,Kontra
304,32,2,Kontra
304,17,3,Kontra
304,42,4,Re
305,3,1,Kontra
305,32,2,Re
305,17,3,Re
305,42,4,Kontra
306,3,1,Kontra
306,32,2,Kontra
306,17,3,Re
306,42,4,Re
